freq,unit,hhtyp,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_HH,A1_DCH,EU15	37.90 	42.13 	46.15 	51.72 	49.10 	63.17 	70.02 	78.81 	80.67 	84.08 	86.30 	89.80 	91.46 	92.68 	94.91 	95.00 	96.03 	: 	: 	: 	: 	: 	: 
A,PC_HH,A1_DCH,EU25	: 	: 	42.57 	48.01 	47.53 	60.89 	68.71 	77.23 	79.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,A1_DCH,EU27_2007	: 	: 	42.40 	48.01 	46.95 	59.86 	68.10 	76.31 	79.04 	82.62 	85.48 	88.83 	90.87 	92.07 	94.11 	94.63 	95.75 	: 	: 	: 	: 	: 	: 
A,PC_HH,A1_DCH,EU27_2020	: 	: 	: 	: 	: 	60.32 	67.51 	75.74 	78.98 	81.94 	85.87 	88.71 	90.94 	91.38 	92.77 	93.90 	95.06 	96.24 	96.62 e	97.89 b	96.54 	97.95 	97.33 
A,PC_HH,A1_DCH,EU28	: 	: 	: 	: 	: 	59.86 	68.03 	76.29 	79.04 	82.62 	85.45 	88.83 	90.83 	92.05 	94.11 	94.59 	95.75 	96.83 	: 	: 	: 	: 	: 
A,PC_HH,A1_DCH,FI	45.11 	44.07 	50.00 	57.02 	78.02 	68.92 	95.43 	96.81 	97.76 	98.87 	100.00 u	100.00 u	100.00 u	100.00 u	100.00 	99.16 u	94.99 u	100.00 u	100.00 	100.00 u	100.00 	100.00 	100.00 
A,PC_HH,A1_DCH,FR	21.83 	27.54 	30.27 	: 	33.16 	70.06 	65.24 	84.87 	78.82 	83.62 	89.42 	91.70 	93.18 	90.56 	91.40 	91.55 	92.57 	95.12 	: 	97.76 	94.99 	98.49 	97.19 
A,PC_HH,A1_DCH,HR	: 	: 	: 	: 	: 	59.70 	41.51 	71.68 	78.18 	82.32 u	73.04 u	87.40 u	78.55 u	: u	95.08 u	: u	: u	: u	: u	: u	: u	100.00 u	100.00 u
A,PC_HH,A1_DCH,HU	: 	: 	27.10 	16.06 	26.71 	35.78 	48.30 	51.82 	64.72 	72.99 	76.51 	80.18 	83.40 	85.12 	86.08 	87.96 	89.56 	91.26 	96.66 	97.98 	97.65 	99.25 	96.35 
A,PC_HH,A1_DCH,IE	: 	24.28 	23.69 	24.93 	25.71 	40.60 	51.36 	52.48 	61.87 	76.16 	78.01 	81.86 	86.23 	87.78 	92.42 	95.48 	97.48 	97.48 	85.22 	91.67 bu	: u	99.14 	85.48 u
A,PC_HH,A1_DCH,IS	: 	: 	81.36 	68.16 	86.58 	81.93 	91.73 	93.08 	100.00 	98.17 	97.68 u	100.00 u	100.00 u	: 	: 	100.00 u	100.00 u	100.00 u	97.22 u	: 	: 	: 	: 
A,PC_HH,A1_DCH,IT	44.41 	36.80 	33.90 	36.47 	40.42 	40.90 	53.13 	59.73 	68.32 	66.10 	67.56 	76.11 	81.76 	80.26 	87.08 	88.73 	90.88 	92.01 	96.15 	98.06 	96.67 	96.95 	97.97 
A,PC_HH,A1_DCH,LT	: 	: 	17.79 	13.45 	39.49 	57.04 	67.32 	65.96 	76.89 	69.99 	78.54 	80.05 	84.96 	91.08 	96.87 	97.65 	96.47 	97.47 	98.00 	97.33 	99.19 	100.00 	99.87 
A,PC_HH,A1_DCH,LU	53.84 	63.67 	0 	56.47 	81.54 	78.52 	94.36 	93.22 	91.83 	95.75 u	94.07 u	100.00 u	96.43 u	100.00 u	94.36 u	: u	87.65 b	100.00 u	: u	: u	100.00 u	100.00 u	100.00 u
A,PC_HH,A1_DCH,LV	: 	: 	17.94 	29.29 	36.79 	49.39 	57.14 	70.13 	77.97 	82.23 	78.99 	86.59 	93.88 	81.59 	88.43 b	90.56 	96.31 	98.33 	98.92 	95.09 	97.98 	97.16 	: 
A,PC_HH,A1_DCH,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,PC_HH,A1_DCH,MK	: 	: 	: u	: 	: 	: 	: u	: u	52.39 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	77.76 u	: 	: 	: u
A,PC_HH,A1_DCH,MT	: 	: 	: 	: 	: 	: u	68.88 	84.29 	: u	76.16 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	100.00 u	100.00 u	100.00 u	97.95 u
A,PC_HH,A1_DCH,NL	: 	: 	: 	78.77 	: u	: u	: u	: u	100.00 u	99.35 u	93.71 u	100.00 u	100.00 u	95.04 	100.00 u	100.00 	98.37 	100.00 	100.00 	100.00 	96.81 	98.23 	100.00 
A,PC_HH,A1_DCH,NO	: 	56.19 	67.19 	68.84 	72.63 	79.91 	95.08 	95.10 	94.83 	98.61 u	100.00 u	100.00 u	96.68 u	92.67 u	100.00 u	: u	100.00 u	100.00 u	100.00 u	98.10 u	100.00 u	98.63 	95.31 u
A,PC_HH,A1_DCH,PL	: 	: 	27.99 	33.98 	37.91 	: u	: u	61.78 	67.42 	77.68 	81.99 	85.37 	88.36 	94.94 u	96.74 	94.04 	97.24 	97.57 	96.88 	96.70 	100.00 	98.15 	99.37 
A,PC_HH,A1_DCH,PT	: 	28.75 	28.51 	36.43 	36.15 	50.66 	64.98 	64.96 	71.68 	73.17 	79.72 	81.98 	87.35 	90.31 	92.52 	98.64 	97.36 	92.53 	98.23 	98.58 	99.27 	98.95 	97.77 
